date,confirmed_cases,report_date
2020-02-24,3,2020-03-29
2020-02-25,1,2020-03-29
2020-02-26,14,2020-03-29
2020-02-27,11,2020-03-29
2020-02-28,10,2020-03-29
2020-02-29,17,2020-03-29
2020-03-01,14,2020-03-29
2020-03-02,32,2020-03-29
2020-03-03,33,2020-03-29
2020-03-04,60,2020-03-29
2020-03-05,59,2020-03-29
2020-03-06,73,2020-03-29
2020-03-07,49,2020-03-29
2020-03-08,62,2020-03-29
2020-03-09,185,2020-03-29
2020-03-10,200,2020-03-29
2020-03-11,312,2020-03-29
2020-03-12,326,2020-03-29
2020-03-13,412,2020-03-29
2020-03-14,421,2020-03-29
2020-03-15,317,2020-03-29
2020-03-16,1000,2020-03-29
2020-03-17,972,2020-03-29
2020-03-18,1151,2020-03-29
2020-03-19,838,2020-03-29
2020-03-20,1144,2020-03-29
2020-03-21,697,2020-03-29
2020-03-22,535,2020-03-29
2020-03-23,1468,2020-03-29
2020-03-24,1248,2020-03-29
2020-03-25,1062,2020-03-29
2020-03-26,1075,2020-03-29
2020-03-27,533,2020-03-29
2020-03-28,2,2020-03-29
2020-02-24,3,2020-03-30
2020-02-25,1,2020-03-30
2020-02-26,14,2020-03-30
2020-02-27,11,2020-03-30
2020-02-28,10,2020-03-30
2020-02-29,17,2020-03-30
2020-03-01,14,2020-03-30
2020-03-02,32,2020-03-30
2020-03-03,33,2020-03-30
2020-03-04,60,2020-03-30
2020-03-05,59,2020-03-30
2020-03-06,73,2020-03-30
2020-03-07,49,2020-03-30
2020-03-08,62,2020-03-30
2020-03-09,185,2020-03-30
2020-03-10,200,2020-03-30
2020-03-11,312,2020-03-30
2020-03-12,326,2020-03-30
2020-03-13,412,2020-03-30
2020-03-14,421,2020-03-30
2020-03-15,317,2020-03-30
2020-03-16,1001,2020-03-30
2020-03-17,972,2020-03-30
2020-03-18,1152,2020-03-30
2020-03-19,838,2020-03-30
2020-03-20,1144,2020-03-30
2020-03-21,697,2020-03-30
2020-03-22,536,2020-03-30
2020-03-23,1469,2020-03-30
