age_class,male_cases,male_percent,male_incidence,female_cases,female_percent,female_incidence,total_cases,total_percent,report_date
0 - 9,30,0.4,6.7,24,0.3,5.7,54,0.4,2020-03-29
10 - 19,147,2.2,33.8,204,2.8,49.8,351,2.5,2020-03-29
20 - 29,621,9.3,114.9,941,13.1,181.3,1562,11.3,2020-03-29
30 - 39,829,12.4,134.6,1078,15,177.3,1907,13.8,2020-03-29
40 - 49,1005,15.1,165.2,1234,17.2,203,2239,16.2,2020-03-29
50 - 59,1499,22.5,230.7,1501,20.9,233.8,3000,21.6,2020-03-29
60 - 69,1092,16.4,237.4,806,11.2,167.8,1898,13.7,2020-03-29
70 - 79,805,12.1,244.1,647,9,169.1,1452,10.5,2020-03-29
80+,647,9.7,383.4,749,10.4,270.7,1396,10.1,2020-03-29
0 - 9,32,0.4,7.1,26,0.3,6.1,58,0.4,2020-03-30
10 - 19,154,2.1,35.4,222,2.8,54.2,376,2.5,2020-03-30
20 - 29,656,9.1,121.4,1011,12.9,194.8,1667,11.1,2020-03-30
30 - 39,888,12.4,144.2,1154,14.8,189.7,2042,13.6,2020-03-30
40 - 49,1066,14.9,175.2,1331,17,219.1,2397,16,2020-03-30
50 - 59,1611,22.5,248,1633,20.9,253.9,3244,21.6,2020-03-30
60 - 69,1181,16.5,256.7,879,11.2,183.1,2060,13.7,2020-03-30
70 - 79,879,12.3,266.5,707,9,184.7,1586,10.6,2020-03-30
80+,708,9.9,419.5,854,10.9,308.7,1562,10.4,2020-03-30
0 - 9,34,0.5,7.6,26,0.3,6.1,60,0.4,2020-03-31
10 - 19,160,2.1,36.8,233,2.8,56.6,393,2.5,2020-03-31
20 - 29,680,9.1,125.8,1060,12.9,204.3,1740,11.1,2020-03-31
30 - 39,918,12.3,149,1202,14.6,197.7,2120,13.5,2020-03-31
40 - 49,1121,15,184.2,1384,16.9,228.1,2505,16,2020-03-31
50 - 59,1665,22.2,256.3,1702,20.7,264.7,3367,21.5,2020-03-31
60 - 69,1228,16.4,266.9,923,11.2,192.8,2151,13.7,2020-03-31
70 - 79,926,12.4,280.7,741,9,193.6,1667,10.6,2020-03-31
80+,754,10.1,446.8,938,11.4,339.1,1692,10.8,2020-03-31
0 - 9,34,0.4,7.6,28,0.3,6.6,62,0.4,2020-04-01
10 - 19,171,2.2,39.3,247,2.8,59.8,418,2.5,2020-04-01
20 - 29,717,9.1,132.7,1130,12.9,217.6,1847,11.1,2020-04-01
30 - 39,962,12.1,156.2,1273,14.6,209.4,2235,13.4,2020-04-01
40 - 49,1174,14.8,192.9,1470,16.8,242.4,2644,15.9,2020-04-01
50 - 59,1746,22.1,268.7,1807,20.7,281.1,3553,21.3,2020-04-01
60 - 69,1306,16.5,283.9,959,11,200.1,2265,13.6,2020-04-01
70 - 79,980,12.4,297.1,798,9.1,208.4,1778,10.7,2020-04-01
80+,828,10.5,490.6,1024,11.7,370.2,1852,11.1,2020-04-01
0 - 9,34,0.4,7.6,29,0.3,6.8,63,0.4,2020-04-02
10 - 19,184,2.2,42.3,263,2.8,63.7,447,2.5,2020-04-02
20 - 29,768,9.1,142.1,1210,12.9,233.5,1978,11.1,2020-04-02
30 - 39,1017,12,165.1,1356,14.5,223.5,2373,13.3,2020-04-02
40 - 49,1241,14.7,204,1584,16.9,261.8,2825,15.8,2020-04-02
50 - 59,1874,22.1,288.4,1938,20.7,302.3,3812,21.4,2020-04-02
60 - 69,1389,16.4,301.9,1035,11.1,216.5,2424,13.6,2020-04-02
70 - 79,1063,12.6,322.3,836,8.9,219.2,1899,10.7,2020-04-02
80+,892,10.5,528.6,1112,11.9,402.4,2004,11.2,2020-04-02
0 - 9,37,0.4,8.3,29,0.3,6.8,66,0.4,2020-04-03
10 - 19,201,2.2,46.2,274,2.8,66.8,475,2.5,2020-04-03
20 - 29,826,9.2,152.9,1264,12.8,244.5,2090,11.1,2020-04-03
30 - 39,1070,12,173.7,1405,14.2,232.6,2475,13.1,2020-04-03
40 - 49,1309,14.6,215.1,1686,17.1,280.3,2995,15.9,2020-04-03
50 - 59,1985,22.2,305.5,2037,20.6,319,4022,21.4,2020-04-03
60 - 69,1462,16.3,317.8,1081,10.9,227,2543,13.5,2020-04-03
70 - 79,1107,12.4,335.6,881,8.9,232.4,1988,10.6,2020-04-03
80+,954,10.7,565.3,1218,12.3,440.8,2172,11.5,2020-04-03
0 - 9,38,0.4,8.5,30,0.3,7.1,68,0.3,2020-04-04
10 - 19,211,2.2,48.5,294,2.8,71.7,505,2.6,2020-04-04
20 - 29,883,9.4,163.4,1342,12.9,259.6,2225,11.2,2020-04-04
30 - 39,1125,12,182.6,1482,14.2,245.3,2607,13.2,2020-04-04
40 - 49,1368,14.6,224.8,1776,17.1,295.2,3144,15.9,2020-04-04
50 - 59,2093,22.3,322.2,2153,20.7,337.2,4246,21.4,2020-04-04
60 - 69,1526,16.2,331.7,1129,10.8,237.1,2655,13.4,2020-04-04
70 - 79,1147,12.2,347.7,912,8.8,240.6,2059,10.4,2020-04-04
80+,1001,10.7,593.1,1290,12.4,466.8,2291,11.6,2020-04-04
0 - 9,42,0.4,9.4,31,0.3,7.3,73,0.4,2020-04-05
10 - 19,223,2.3,51.2,303,2.8,73.9,526,2.6,2020-04-05
20 - 29,925,9.5,171.2,1405,12.9,271.8,2330,11.3,2020-04-05
30 - 39,1165,11.9,189.1,1545,14.2,255.8,2710,13.1,2020-04-05
40 - 49,1427,14.6,234.5,1858,17.1,308.9,3285,15.9,2020-04-05
50 - 59,2187,22.4,336.6,2240,20.6,350.8,4427,21.5,2020-04-05
60 - 69,1567,16.1,340.6,1158,10.7,243.2,2725,13.2,2020-04-05
70 - 79,1173,12,355.6,945,8.7,249.3,2118,10.3,2020-04-05
80+,1044,10.7,618.6,1385,12.7,501.2,2429,11.8,2020-04-05
0 - 9,46,0.5,10.3,32,0.3,7.5,78,0.4,2020-04-06
10 - 19,224,2.2,51.5,308,2.7,75.1,532,2.5,2020-04-06
20 - 29,953,9.6,176.4,1450,12.9,280.5,2403,11.3,2020-04-06
30 - 39,1203,12.1,195.3,1584,14.1,262.2,2787,13.2,2020-04-06
40 - 49,1463,14.7,240.4,1925,17.2,320,3388,16,2020-04-06
50 - 59,2230,22.4,343.2,2301,20.5,360.4,4531,21.4,2020-04-06
60 - 69,1592,16,346,1190,10.6,249.9,2782,13.1,2020-04-06
70 - 79,1202,12.1,364.4,970,8.7,255.9,2172,10.3,2020-04-06
80+,1060,10.6,628.1,1441,12.9,521.4,2501,11.8,2020-04-06
0 - 9,47,0.5,10.5,37,0.3,8.7,84,0.4,2020-04-07
10 - 19,235,2.3,54,323,2.8,78.8,558,2.6,2020-04-07
20 - 29,990,9.6,183.2,1507,13,291.5,2497,11.4,2020-04-07
30 - 39,1243,12.1,201.8,1636,14.1,270.8,2879,13.2,2020-04-07
40 - 49,1507,14.6,247.7,1981,17.1,329.3,3488,15.9,2020-04-07
50 - 59,2286,22.2,351.9,2366,20.4,370.5,4652,21.3,2020-04-07
60 - 69,1638,15.9,356,1218,10.5,255.8,2856,13.1,2020-04-07
70 - 79,1239,12,375.6,999,8.6,263.5,2238,10.2,2020-04-07
80+,1104,10.7,654.2,1522,13.1,550.8,2626,12,2020-04-07
0 - 9,47,0.4,10.5,39,0.3,9.2,86,0.4,2020-04-08
10 - 19,238,2.3,54.7,327,2.8,79.8,565,2.5,2020-04-08
20 - 29,1021,9.7,188.9,1562,13.2,302.2,2583,11.5,2020-04-08
30 - 39,1269,12.1,206,1663,14,275.3,2932,13.1,2020-04-08
40 - 49,1546,14.7,254.1,2019,17,335.6,3565,15.9,2020-04-08
50 - 59,2339,22.2,360,2426,20.5,379.9,4765,21.3,2020-04-08
60 - 69,1666,15.8,362.1,1235,10.4,259.4,2901,13,2020-04-08
70 - 79,1264,12,383.2,1022,8.6,269.6,2286,10.2,2020-04-08
80+,1131,10.7,670.2,1561,13.2,564.9,2692,12,2020-04-08
0 - 9,49,0.4,10.9,39,0.3,9.2,88,0.4,2020-04-09
10 - 19,253,2.3,58.1,346,2.8,84.4,599,2.6,2020-04-09
20 - 29,1089,9.9,201.5,1650,13.2,319.2,2739,11.7,2020-04-09
30 - 39,1340,12.2,217.5,1768,14.2,292.7,3108,13.2,2020-04-09
40 - 49,1622,14.8,266.6,2133,17.1,354.6,3755,16,2020-04-09
50 - 59,2429,22.1,373.9,2543,20.4,398.3,4972,21.2,2020-04-09
60 - 69,1730,15.7,376,1293,10.4,271.5,3023,12.9,2020-04-09
70 - 79,1311,11.9,397.5,1072,8.6,282.8,2383,10.1,2020-04-09
80+,1173,10.7,695.1,1647,13.2,596,2820,12,2020-04-09
0 - 9,50,0.4,11.2,41,0.3,9.7,91,0.4,2020-04-10
10 - 19,260,2.3,59.7,363,2.8,88.6,623,2.6,2020-04-10
20 - 29,1135,10,210,1712,13.3,331.2,2847,11.8,2020-04-10
30 - 39,1380,12.2,224,1826,14.1,302.3,3206,13.2,2020-04-10
40 - 49,1660,14.7,272.8,2205,17.1,366.6,3865,16,2020-04-10
50 - 59,2490,22,383.3,2621,20.3,410.5,5111,21.1,2020-04-10
60 - 69,1776,15.7,386,1321,10.2,277.4,3097,12.8,2020-04-10
70 - 79,1339,11.8,406,1104,8.6,291.2,2443,10.1,2020-04-10
80+,1219,10.8,722.3,1718,13.3,621.7,2937,12.1,2020-04-10
