age_class,male_deceased,female_deceased,total_deceased,report_date
30 - 39,0,1,1,2020-03-29
40 - 49,1,0,1,2020-03-29
50 - 59,3,4,7,2020-03-29
60 - 69,14,4,18,2020-03-29
70 - 79,41,24,65,2020-03-29
80+,95,70,165,2020-03-29
30 - 39,0,2,2,2020-03-30
40 - 49,1,0,1,2020-03-30
50 - 59,3,4,7,2020-03-30
60 - 69,20,5,25,2020-03-30
70 - 79,51,27,78,2020-03-30
80+,103,79,182,2020-03-30
30 - 39,0,2,2,2020-03-31
40 - 49,1,0,1,2020-03-31
50 - 59,5,5,10,2020-03-31
60 - 69,22,7,29,2020-03-31
70 - 79,66,32,98,2020-03-31
80+,134,99,233,2020-03-31
30 - 39,0,2,2,2020-04-01
40 - 49,1,0,1,2020-04-01
50 - 59,5,5,10,2020-04-01
60 - 69,26,6,32,2020-04-01
70 - 79,64,34,98,2020-04-01
80+,147,88,235,2020-04-01
30 - 39,0,2,2,2020-04-02
40 - 49,1,0,1,2020-04-02
50 - 59,6,5,11,2020-04-02
60 - 69,28,9,37,2020-04-02
70 - 79,75,35,110,2020-04-02
80+,166,105,271,2020-04-02
30 - 39,0,2,2,2020-04-03
40 - 49,1,0,1,2020-04-03
50 - 59,8,5,13,2020-04-03
60 - 69,29,9,38,2020-04-03
70 - 79,81,37,118,2020-04-03
80+,188,123,311,2020-04-03
30 - 39,0,2,2,2020-04-04
40 - 49,1,0,1,2020-04-04
50 - 59,8,5,13,2020-04-04
60 - 69,33,10,43,2020-04-04
70 - 79,90,38,128,2020-04-04
80+,213,139,352,2020-04-04
30 - 39,1,2,3,2020-04-05
40 - 49,1,0,1,2020-04-05
50 - 59,7,5,12,2020-04-05
60 - 69,36,10,46,2020-04-05
70 - 79,95,39,134,2020-04-05
80+,218,144,362,2020-04-05
30 - 39,1,2,3,2020-04-06
40 - 49,1,0,1,2020-04-06
50 - 59,9,5,14,2020-04-06
60 - 69,36,10,46,2020-04-06
70 - 79,96,42,138,2020-04-06
80+,230,151,381,2020-04-06
30 - 39,1,2,3,2020-04-07
40 - 49,1,0,1,2020-04-07
50 - 59,9,6,15,2020-04-07
60 - 69,37,13,50,2020-04-07
70 - 79,102,46,148,2020-04-07
80+,248,174,422,2020-04-07
30 - 39,1,2,3,2020-04-08
40 - 49,1,0,1,2020-04-08
50 - 59,10,6,16,2020-04-08
60 - 69,40,15,55,2020-04-08
70 - 79,114,48,162,2020-04-08
80+,275,192,467,2020-04-08
30 - 39,2,2,4,2020-04-09
40 - 49,1,0,1,2020-04-09
50 - 59,11,6,17,2020-04-09
60 - 69,45,16,61,2020-04-09
70 - 79,123,49,172,2020-04-09
80+,292,208,500,2020-04-09
30 - 39,2,2,4,2020-04-10
40 - 49,1,0,1,2020-04-10
50 - 59,11,7,18,2020-04-10
60 - 69,47,16,63,2020-04-10
70 - 79,126,52,178,2020-04-10
80+,306,234,540,2020-04-10
30 - 39,2,2,4,2020-04-11
40 - 49,1,0,1,2020-04-11
50 - 59,12,7,19,2020-04-11
60 - 69,47,16,63,2020-04-11
70 - 79,128,54,182,2020-04-11
80+,316,245,561,2020-04-11
30 - 39,2,2,4,2020-04-12
40 - 49,1,0,1,2020-04-12
50 - 59,12,7,19,2020-04-12
60 - 69,49,16,65,2020-04-12
70 - 79,131,57,188,2020-04-12
80+,328,252,580,2020-04-12
30 - 39,2,2,4,2020-04-13
40 - 49,1,0,1,2020-04-13
50 - 59,12,7,19,2020-04-13
60 - 69,50,16,66,2020-04-13
70 - 79,134,58,192,2020-04-13
80+,340,262,602,2020-04-13
30 - 39,2,2,4,2020-04-14
40 - 49,1,0,1,2020-04-14
50 - 59,12,7,19,2020-04-14
60 - 69,51,16,67,2020-04-14
70 - 79,135,61,196,2020-04-14
80+,342,270,612,2020-04-14
