age_class,male_deceased,female_deceased,total_deceased,date
30 - 39,0,1,1,2020-03-29
40 - 49,1,0,1,2020-03-29
50 - 59,3,4,7,2020-03-29
60 - 69,14,4,18,2020-03-29
70 - 79,41,24,65,2020-03-29
80+,95,70,165,2020-03-29
30 - 39,0,2,2,2020-03-30
40 - 49,1,0,1,2020-03-30
50 - 59,3,4,7,2020-03-30
60 - 69,20,5,25,2020-03-30
70 - 79,51,27,78,2020-03-30
80+,103,79,182,2020-03-30
30 - 39,0,2,2,2020-03-31
40 - 49,1,0,1,2020-03-31
50 - 59,5,5,10,2020-03-31
60 - 69,22,7,29,2020-03-31
70 - 79,66,32,98,2020-03-31
80+,134,99,233,2020-03-31
30 - 39,0,2,2,2020-04-01
40 - 49,1,0,1,2020-04-01
50 - 59,5,5,10,2020-04-01
60 - 69,26,6,32,2020-04-01
70 - 79,64,34,98,2020-04-01
80+,147,88,235,2020-04-01
